source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-26 16:51:54,"UPDATE: Mr Ivan Lim responds to criticisms. Full Story: https://str.sg/JmSf Mr Ivan Lim was accused of elitist behaviour during a military exercise and being arrogant, among other criticisms that have surfaced online.",1.5K,542,571,2,56,18,378,,10157157372402115,/story.php?story_fbid=10157157372402115&id=129011692114
The Straits Times,,2020-06-26 16:30:08,"""Let me remind you, in politics, change can happen. Candidates can be switched all around so you will have to just wait and see,"" said PSP party chief Tan Cheng Bock.",192,163,19,4,4,,,,10157157341947115,/story.php?story_fbid=10157157341947115&id=129011692114
The Straits Times,,2020-06-26 16:07:17,"WP chief Pritam Singh, party chairman Sylvia Lim, Mr Faisal Manap, Mr Gerald Giam and Mr Leon Perera will be contesting Aljunied GRC. NCMP Dennis Tan will be the candidate for Hougang SMC.",350,308,5,24,3,,2,,10157157284167115,/story.php?story_fbid=10157157284167115&id=129011692114
The Straits Times,,2020-06-26 16:00:31,🛒 Here's a lifehack if you shop at these 278 supermarkets across the island.,143,135,,2,6,,,,10157157268892115,/story.php?story_fbid=10157157268892115&id=129011692114
The Straits Times,,2020-06-26 15:48:21,JUST IN: Minister for Transport Khaw Boon Wan is retiring from politics after 19 years.,1K,828,94,18,48,84,4,,10157157242472115,/story.php?story_fbid=10157157242472115&id=129011692114
The Straits Times,,2020-06-26 15:35:00,"""I believe in helping girls and young wom​e​n develop their potential so they can contribute more to ​the ​community,"" ​says Singapore's first woman brigadier-general Gan Siow Huang, as the PAP unveils its final batch of candidates for the election.  Hear what the other candidates have to say. https://str.sg/JmJt Follow full #GE2020 coverage here: https://str.sg/JW74",348,229,55,8,1,3,49,,10157157203112115,/story.php?story_fbid=10157157203112115&id=129011692114
The Straits Times,,2020-06-26 15:16:40,"🔴 JUST IN: Singapore confirms 219 new Covid-19 cases. There are 6 cases in the community, including 5 Singaporeans or PRs.",1.9K,1.4K,12,6,134,333,12,,10157157203897115,/story.php?story_fbid=10157157203897115&id=129011692114
The Straits Times,,2020-06-26 14:53:30,"Tanjong Pagar GRC is a PAP stronghold, and the bastion of founding prime minister Lee Kuan Yew - PM Lee and Mr Lee Hsien Yang's father. Follow full #GE2020 coverage here: https://str.sg/JW74",665,500,129,6,16,9,3,,10157157173337115,/story.php?story_fbid=10157157173337115&id=129011692114
The Straits Times,,2020-06-26 14:35:37,"""When people see us, they seem to be wondering why we are smiling and laughing,"" said a customer who ordered a mask printed with his own smiling face.",151,139,12,,,,,,10157157154772115,/story.php?story_fbid=10157157154772115&id=129011692114
The Straits Times,,2020-06-26 14:11:10,"The teenager's video, besides opening up opportunities for her, have also highlighted the lack of facilities in many parts of Sabah.",443,390,3,24,20,2,,,10157157126422115,/story.php?story_fbid=10157157126422115&id=129011692114
The Straits Times,,2020-06-26 13:50:03,Do you think the new e-commerce transaction standard - known as Technical Reference 76 - will improve e-commerce practices in Singapore?,42,40,,1,1,,,,10157157105197115,/story.php?story_fbid=10157157105197115&id=129011692114
The Straits Times,,2020-06-26 13:16:07,Government agencies that criminals commonly pretended to be in phishing e-mails and messages: • Immigration and Checkpoints Authority • Ministry of Manpower • Singapore Police Force,112,99,4,,8,,1,,10157157072427115,/story.php?story_fbid=10157157072427115&id=129011692114
The Straits Times,,2020-06-26 12:55:31,"From taking barely a step a month ago, Tony walked 10km on his new prosthetic legs for the London hospital which saved his life when he was a baby.",389,292,,59,6,,,,10157157050902115,/story.php?story_fbid=10157157050902115&id=129011692114
