source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-20 13:36:02,"Dentist Tan Peng Hui rallied those in the dental industry to donate close to 15,000 masks to nursing homes after seeing his son volunteering to help Covid-19 patients.",1.2K,1.1K,4,83,2,,,,10157140580572115,/story.php?story_fbid=10157140580572115&id=129011692114
The Straits Times,,2020-06-20 12:34:32,"The Covid-19 pandemic has made clearer the importance of building and maintaining strong family ties at home, said the National Population and Talent Division, which launched the initiative.",129,118,5,3,3,,,,10157140507307115,/story.php?story_fbid=10157140507307115&id=129011692114
The Straits Times,,2020-06-20 10:36:01,"Boosting local production would help to guard against price fluctuations and supply disruptions that could arise from shocks like the Covid-19 pandemic, said Mr Masagos.",125,118,,2,1,,,,10157140301092115,/story.php?story_fbid=10157140301092115&id=129011692114
The Straits Times,,2020-06-20 08:32:27,"While many people had probably made plans for the weekend, Covid-19 remains a threat and people must remember to act responsibly, said Mr Masagos Zulkifli.",397,311,37,3,28,12,4,,10157140076517115,/story.php?story_fbid=10157140076517115&id=129011692114
The Straits Times,,2020-06-19 22:56:13,"PAP MPs and opposition party candidates were seen meeting people in markets and doing home visits, though they did not shake hands with residents due to Covid-19 safety measures.",241,209,19,3,6,2,1,,10157138760912115,/story.php?story_fbid=10157138760912115&id=129011692114
The Straits Times,,2020-06-19 20:05:32,"Shopping malls were buzzing with activity again, with queues even forming outside before the doors were opened, as Singapore moved into phase 2 of its post-circuit breaker period. https://str.sg/JWAV",775,623,69,15,54,2,7,,10157138448322115,/story.php?story_fbid=10157138448322115&id=129011692114
The Straits Times,,2020-06-19 19:07:28,"""We (want) to remind the population that (public hygiene) is not just for Covid-19. We have to adjust our basic habits so that whether it's Covid-19 or other viruses, we are not spreading them,"" said Mr Masagos.",211,187,19,2,,,,,10157138354072115,/story.php?story_fbid=10157138354072115&id=129011692114
,,2020-06-19 17:06:21,"THE BIG STORY: Crowds return to S'pore's malls as phase 2 starts | Masagos on S'pore's food security, efforts to boost local farming | Learn about an ancient musical tradition with Siong Leng Musical Association #thebigstory #stbigstory #coronavirus #covid19 phase2 #nationalartscouncil #masagos",402,309,11,50,8,6,10,,1174578739561400,/story.php?story_fbid=1174578739561400&id=129011692114
The Straits Times,,2020-06-19 15:23:27,"🔴 JUST IN: 142 new Covid-19 cases, including 1 community case involving a prison inmate on social visit pass, said MOH.",2.4K,2K,10,63,133,84,6,,10157138056367115,/story.php?story_fbid=10157138056367115&id=129011692114
The Straits Times,,2020-06-19 13:30:41,"8,000 out of 8,529 patients have recovered from Covid-19 in Malaysia so far.",327,270,23,6,23,,,,10157137898647115,/story.php?story_fbid=10157137898647115&id=129011692114
The Straits Times,,2020-06-19 12:46:05,Schools and daycare centres near the scene of the incident were on lockdown as police searched for the shooter.,364,153,1,2,68,129,9,,10157137840017115,/story.php?story_fbid=10157137840017115&id=129011692114
The Straits Times,,2020-06-19 08:15:45,"There has not been any evidence to suggest Covid-19 transmission arising from a commute on public transport, MOH said.",2.2K,1.2K,53,6,573,342,32,,10157137379112115,/story.php?story_fbid=10157137379112115&id=129011692114
The Straits Times,,2020-06-18 21:56:07,JUST IN: Those aged 45 and above with acute respiratory infection will be tested for Covid-19 from next week.,1.6K,1.4K,3,45,122,5,1,,10157135959787115,/story.php?story_fbid=10157135959787115&id=129011692114
,,2020-06-26 17:04:06,"THE BIG STORY: Transport Minister Khaw Boon Wan retires | PAP, opposition parties unveil more candidates | Liverpool crowned Premier League champions after 30 years #thebigstory #stbigstory #generalelection #ge2020 #coronavirus #covid19 #liverpool",190,139,4,37,3,,1,,2607268296214594,/story.php?story_fbid=2607268296214594&id=129011692114
,,2020-06-25 18:57:12,THE BIG STORY: Covid-19 testing to be extended to those aged 13 and up who display symptoms of acute respiratory infection | 80% of migrant workers expected to be virus-free by end-July #thebigstory #stbigstory #coronavirus #covid19,346,305,,29,,1,3,,743431446468793,/story.php?story_fbid=743431446468793&id=129011692114
,,2020-06-25 17:07:58,"THE BIG STORY: ESM Goh Chok Tong retires from politics | WP's Low Thia Khiang, Chen Show Mao, Png Eng Huat not contesting in GE2020 #thebigstory #stbigstory #generalelection #ge2020 #coronavirus #covid19",300,246,10,36,3,2,2,,257696672199530,/story.php?story_fbid=257696672199530&id=129011692114
,,2020-06-24 17:06:31,"THE BIG STORY: PAP unveils 8 new candidates for GE2020 | Lee Hsien Yang joins PSP | Shanmugam says jobs, healthcare should be focus at GE2020 #thebigstory #stbigstory #generalelection #ge2020 #coronavirus #covid19",452,317,11,73,4,3,35,,268684830870778,/story.php?story_fbid=268684830870778&id=129011692114
,,2020-06-23 17:12:22,THE BIG STORY: GE2020 - Polling Day on July 10. What are the changes to this S'pore GE and where are the hotly contested areas? #thebigstory #stbigstory #coronavirus #generalelection #ge2020,472,372,8,50,4,7,25,,3992639384110949,/story.php?story_fbid=3992639384110949&id=129011692114
,,2020-06-23 16:22:35,THE BIG STORY: S'pore GE - Polling Day to be held on July 10 #thebigstory #stbigstory #coronavirus #covid19 #generalelection #ge2020,206,149,1,38,8,,5,,1305974962947004,/story.php?story_fbid=1305974962947004&id=129011692114
,,2020-06-22 16:59:15,THE BIG STORY: Low retail sales during phase 2's first weekend | S'pore GE walkabouts: safe distancing difficulties on the campaign trail | Vivian Balakrishnan on growth industries post-Covid-19 #thebigstory #stbigstory #coronavirus #covid19 #generalelection #vivianbalakrishnan,258,205,1,40,3,1,4,,2977385025664543,/story.php?story_fbid=2977385025664543&id=129011692114
,,2020-06-20 19:17:32,THE BIG STORY: Emerging Stronger Together – Deputy Prime Minister Heng Swee Keat #thebigstory #stbigstory #coronavirus #covid19 #sgunited #hengsweekeat,693,484,21,127,4,3,37,,3152177761526826,/story.php?story_fbid=3152177761526826&id=129011692114
,,2020-06-19 17:06:21,"THE BIG STORY: Crowds return to S'pore's malls as phase 2 starts | Masagos on S'pore's food security, efforts to boost local farming | Learn about an ancient musical tradition with Siong Leng Musical Association #thebigstory #stbigstory #coronavirus #covid19 phase2 #nationalartscouncil #masagos",402,309,11,50,8,6,10,,1174578739561400,/story.php?story_fbid=1174578739561400&id=129011692114
,,2020-06-18 17:02:44,"THE BIG STORY: No physical rallies at next S'pore GE, parties to go online | Phase 2 starts tomorrow | A S'porean's account of living in Beijing amid threat of a second Covid-19 wave #thebigstory #stbigstory #coronavirus #covid19",279,215,14,33,2,2,7,,702571933636289,/story.php?story_fbid=702571933636289&id=129011692114
,,2020-06-17 19:08:51,THE BIG STORY: A Stronger and More Cohesive Society - Senior Minister Tharman Shanmugaratnam speaks on #thebigstory #stbigstory #coronavirus #covid19 #sgunited #tharmanshanmugaratnam,827,596,11,154,2,13,36,,356951651938591,/story.php?story_fbid=356951651938591&id=129011692114
,,2020-06-17 16:57:18,"THE BIG STORY: Contact tracing made easier, quicker with integration of SafeEntry, TraceTogether | Premier League is back - benefits and pitfalls | Beijing raises Covid-19 emergency response #thebigstory #stbigstory #coronavirus #covid19",257,206,2,33,2,3,5,,203521957472513,/story.php?story_fbid=203521957472513&id=129011692114
,,2020-06-16 17:06:13,THE BIG STORY: Are retail shops ready to safely manage customers in phase 2? | Could Beijing see a lockdown similar to Wuhan amid new market outbreak? #thebigstory #stbigstory #coronavirus #covid19 #beijing,323,239,4,60,8,1,5,,385006135789385,/story.php?story_fbid=385006135789385&id=129011692114
,,2020-06-15 19:49:19,"THE BIG STORY: S'pore will move to phase 2 of reopening on June 19, Friday | Activities allowed include F&B dining-in and social gatherings of up to 5 #thebigstory #stbigstory #coronavirus #covid19 #circuitbreaker #sgunited",1.6K,1.3K,17,289,20,6,14,,700683757158949,/story.php?story_fbid=700683757158949&id=129011692114
,,2020-06-15 17:12:34,THE BIG STORY: S'pore's total employment in Q1 sees biggest decline ever | S. Iswaran on S'pore's digital push | Fandi Ahmad on Eredivisie achievements #thebigstory #stbigstory #coronavirus #covid19,305,253,2,32,6,6,1,,589019135344836,/story.php?story_fbid=589019135344836&id=129011692114
,,2020-06-14 18:58:26,THE BIG STORY: Making a Living in a Covid-19 World – Minister Chan Chun Sing on how Singapore can keep its economy competitive #thebigstory #stbigstory #coronavirus #covid19 #sgunited #chanchunsing,727,507,30,94,5,7,70,,259170848508605,/story.php?story_fbid=259170848508605&id=129011692114
,,2020-06-12 16:50:41,THE BIG STORY: S’pore GP cancelled | 18 Covid-19 community cases reported – are we still on track to start Phase 2?  #thebigstory #stbigstory #coronavirus #covid19,384,274,11,56,10,20,6,,258692228698670,/story.php?story_fbid=258692228698670&id=129011692114
